Unnamed: 0,Randomization Ratio,Equivalence Margin,Cost,Power_-0.6,Power_-0.55,Power_-0.5,Power_-0.45,Power_-0.4,Power_-0.35,Power_-0.3,Power_-0.25,Power_-0.2,Power_-0.15,Power_-0.1,Power_-0.05,Power_0.0,Power_0.05,Power_0.1,Power_0.15,Power_0.2,Power_0.25,Power_0.3,Power_0.35,Power_0.4,Power_0.45,Power_0.5,Power_0.55,Power_0.6,TypeIError_-0.6,TypeIError_-0.55,TypeIError_-0.5,TypeIError_-0.45,TypeIError_-0.4,TypeIError_-0.35,TypeIError_-0.3,TypeIError_-0.25,TypeIError_-0.2,TypeIError_-0.15,TypeIError_-0.1,TypeIError_-0.05,TypeIError_0.0,TypeIError_0.05,TypeIError_0.1,TypeIError_0.15,TypeIError_0.2,TypeIError_0.25,TypeIError_0.3,TypeIError_0.35,TypeIError_0.4,TypeIError_0.45,TypeIError_0.5,TypeIError_0.55,TypeIError_0.6
minimize,0.3325097173078563,0.1195198068819533,158.89908041412002,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.7532278138203842,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
shgo,0.5,0.2824277658719019,-33.10933151281728,0.8190400626694633,0.8190400863224766,0.8190403596953221,0.8190428259645695,0.8190601659131572,0.8191549155462712,0.8195553316725283,0.8208523494351068,0.824015677531962,0.8295969663922051,0.8359454529004184,0.838220874150641,0.8310933151281727,0.8144598275780706,0.795950269620312,0.7855728629902228,0.7873123395334223,0.796904726931092,0.8072317456261641,0.814148513178661,0.8174567933448541,0.8186394165749417,0.8189614113171424,0.819028482798214,0.8190389702010952,0.0587831026016157,0.0588232540132185,0.0589969333747059,0.0595743772454474,0.0610321088031275,0.0637590620022445,0.0673266285124938,0.0699999967318799,0.0695878361451796,0.0653769960121108,0.0591054726418852,0.053773543729013,0.0517271138537974,0.0537735437290131,0.0591054726418854,0.065376996012111,0.0695878361451797,0.0699999967318801,0.0673266285124938,0.0637590620022445,0.0610321088031274,0.0595743772454475,0.0589969333747059,0.0588232540132185,0.0587831026016159
dual_annealing,0.6030865395731043,0.2893306786876463,-41.959896308782305,0.800794329382659,0.8007943390066528,0.8007944601950585,0.8007956522845294,0.8008047980309373,0.800859375760167,0.8011115181921051,0.8020056877646039,0.8044005908600894,0.8090805540901257,0.8151722018824189,0.8186373024094133,0.8139140452167914,0.7994523796739502,0.7815552796634451,0.770275817359893,0.7706443299889242,0.7792468357301819,0.789122646275525,0.7959097005048135,0.7992018916993234,0.8003897869400367,0.8007157226469609,0.8007839298338392,0.8007942470976118,0.0581562655723383,0.0582327522702793,0.0585257810664328,0.0593837285110699,0.0612695650079457,0.0642669398450165,0.0673814196558927,0.0686397374111744,0.0666079393268926,0.0619659864755412,0.0570589524604,0.05383553459652,0.0527925129106616,0.0538355345965202,0.0570589524604002,0.0619659864755414,0.0666079393268926,0.0686397374111745,0.0673814196558927,0.0642669398450165,0.0612695650079455,0.0593837285110699,0.0585257810664328,0.0582327522702792,0.0581562655723382
minimize,0.292605434829629,0.1112645619007353,456.20346569580096,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.7241877756736831,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
shgo,0.5,0.1,-30.000000805855187,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.8000000080585519,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998
dual_annealing,0.6277927261067958,0.1774193172944076,-40.203918451974154,0.7700001626079764,0.7700001626132104,0.7700001627200265,0.7700001644172967,0.7700001853972975,0.7700003868914989,0.7700018877660387,0.770010535618955,0.7700489266478585,0.7701794231238132,0.770515541511547,0.7711591719940102,0.7720391754603189,0.7728067070887722,0.7730227584356436,0.7725474182358162,0.7716800165468691,0.7708671460482491,0.7703504434874727,0.7701110987822366,0.7700278743052357,0.7700057722919897,0.7700011826133376,0.7700003751983142,0.7700002208500479,0.0492537529793473,0.0492542267034407,0.0492570336010368,0.0492698653889923,0.0493148546049485,0.0494346429951152,0.0496726268947717,0.0500129041117232,0.0503318529324671,0.0504594656772035,0.0503392420972629,0.0501114098176862,0.0500000000000001,0.0501114098176861,0.0503392420972631,0.0504594656772034,0.0503318529324671,0.0500129041117232,0.0496726268947718,0.0494346429951152,0.0493148546049484,0.0492698653889923,0.0492570336010371,0.0492542267034407,0.0492537529793473
minimize,0.4448204078013812,0.2884318508086408,-28.298998435668786,0.779268820808148,0.7792689439313789,0.7792702071821875,0.7792803563727501,0.7793441684116463,0.7796577610104651,0.7808594309884722,0.7844335483259962,0.7926096966422083,0.8067162034795314,0.8242092764941542,0.837499222587237,0.8379899843566878,0.8233247388749343,0.8004948552057272,0.7806831384440829,0.7707918815161486,0.7700009476038661,0.773281887680579,0.7765078265107742,0.7783127235656125,0.7790165580198424,0.7792185531157287,0.7792616831877006,0.7792682911354902,0.0439318080793082,0.0439917639969079,0.0442566563181721,0.0451644091620535,0.0475592015839776,0.0523548322790937,0.0594296556863047,0.0665385044640455,0.0699984599782205,0.067479769261391,0.0603563993718499,0.053041627651986,0.0499999999999933,0.0530416276519862,0.06035639937185,0.0674797692613911,0.0699984599782206,0.0665385044640453,0.0594296556863045,0.0523548322790936,0.0475592015839775,0.0451644091620535,0.0442566563181721,0.0439917639969079,0.043931808079308
shgo,0.5,0.2865783010695842,-33.94687388502019,0.7978553823759942,0.7978554268724187,0.7978559236967517,0.797860265903661,0.797889949769219,0.7980484374043418,0.7987075266166155,0.8008314181427579,0.8060820770511771,0.8158340772636163,0.8287732537906013,0.8391795751889606,0.8394687388502019,0.8267335957145692,0.8067774560386379,0.7900560849703899,0.7831819383300365,0.7850037905484699,0.7901477751066545,0.7944230149975723,0.7966888440840716,0.7975506035112382,0.7977949498259032,0.7978469205066336,0.797854864117661,0.0491272393094943,0.0491897684914008,0.0494580217765485,0.0503482697395983,0.05261271750268,0.0569500244081072,0.0629677452082496,0.0683823182054546,0.0699999719814407,0.0663321156719895,0.0592223707701343,0.0526268975833697,0.0499999999999998,0.0526268975833698,0.0592223707701346,0.0663321156719896,0.0699999719814408,0.0683823182054544,0.0629677452082496,0.0569500244081071,0.0526127175026798,0.0503482697395982,0.0494580217765484,0.0491897684914009,0.0491272393094943
dual_annealing,0.6200046632194242,0.2739491514695846,-42.830558682946304,0.7729175716987524,0.7729175773927092,0.7729176538634825,0.7729184578330125,0.7729250695431799,0.7729675408569039,0.7731801014197482,0.774005281428025,0.7764706264956589,0.7820569380366083,0.7913757453939751,0.8020144323455716,0.8083055124797449,0.8053490315769882,0.7941122091825529,0.7811603741280649,0.7726978934446856,0.7700000208502465,0.7705726041159098,0.7717749325348445,0.772523857242206,0.7728188244373679,0.7729011290213597,0.7729173434477,0.7729188713982924,0.0487135454252599,0.0487771448198462,0.0490352322777325,0.0498421673971236,0.0517627174984757,0.0551628464150285,0.0594137971733099,0.0626037364978319,0.0627293187604004,0.0595579793425608,0.0549678199345801,0.0513270542778874,0.0499999999999954,0.0513270542778874,0.0549678199345803,0.0595579793425611,0.0627293187604005,0.0626037364978318,0.05941379717331,0.0551628464150285,0.0517627174984754,0.0498421673971236,0.0490352322777324,0.0487771448198463,0.0487135454252598
minimize,0.2921848577927246,0.113443302430059,499.9945150116237,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.719901533167166,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
shgo,0.5,0.2867653589237285,-33.878063137660575,0.8000000112606558,0.8000000544915926,0.8000005376150978,0.8000047629877329,0.8000336605282614,0.8001879613106788,0.8008293632675294,0.8028937803645807,0.8079847104120178,0.8173931259601388,0.8297404355439313,0.839337770213429,0.8387806313766057,0.8254526681048522,0.8054165163208776,0.7891852705832788,0.7831672176739761,0.7858744642483898,0.7916791106539373,0.7963286434979236,0.7987585152223237,0.7996763611838286,0.7999357490135705,0.7999909094982302,0.799999399546789,0.0500129198060798,0.0500743747896644,0.0503376462519483,0.0512096631761577,0.0534217571726496,0.0576420551056047,0.063458981708818,0.0686157024519863,0.0699999991901587,0.0662104443897477,0.0591102699578409,0.0525877409522919,0.0499999999999998,0.0525877409522921,0.059110269957841,0.0662104443897478,0.0699999991901587,0.0686157024519862,0.0634589817088178,0.0576420551056045,0.0534217571726495,0.0512096631761576,0.0503376462519481,0.0500743747896645,0.0500129198060798
dual_annealing,0.6108261780637384,0.2921546824848331,-43.220844245799185,0.7802338598465482,0.7802338757706719,0.7802340713395608,0.7802359535392093,0.7802501410735148,0.7803337950910914,0.780718706945754,0.7820945434101796,0.7858822567056787,0.7937776419962221,0.8057768040714111,0.8177507915697868,0.8222084424579919,0.8141051530488485,0.7966286449929879,0.7794514772600486,0.7704163965399161,0.7700071436585232,0.7736671787996169,0.7772062361321784,0.7791857665950359,0.779959104237725,0.7801817751179146,0.7802290579655881,0.7802353905589581,0.0500277162695556,0.0501436323325964,0.0505881303867828,0.0519033141928068,0.0548673555030322,0.0598269971519382,0.0656269294051057,0.0694720239590112,0.0687995666902313,0.0636922996347872,0.056972185249184,0.0518398556787894,0.0499999999999956,0.0518398556787895,0.0569721852491841,0.0636922996347874,0.0687995666902315,0.0694720239590111,0.0656269294051055,0.0598269971519379,0.0548673555030321,0.0519033141928067,0.0505881303867828,0.0501436323325965,0.0500277162695556
